482010057,Sampler Operator,,,,,Params,Status,Disclaimer,Data Options,,
[-],Canister (Single),,,,,TCEQ,116,Active,,validated data,
,Param Code,POC/Seg Cd,Param,Carrier,Status,,,,,,
,43228,2,2-Methyl-2-Butene,AIR,Inactive,,,,,,
,43228,3,2-Methyl-2-Butene,AIR,Inactive,,,,,,
,43230,2,3-Methylpentane,AIR,Inactive,,,,,,
,43230,3,3-Methylpentane,AIR,Inactive,,,,,,
,43231,2,n-Hexane,AIR,Inactive,,,,,,
,43231,3,n-Hexane,AIR,Inactive,,,,,,
,43232,2,n-Heptane,AIR,Inactive,,,,,,
,43232,3,n-Heptane,AIR,Inactive,,,,,,
,43233,2,n-Octane,AIR,Inactive,,,,,,
,43233,3,n-Octane,AIR,Inactive,,,,,,
,43234,2,4-Methyl-1-Pentene,AIR,Inactive,,,,,,
,43234,3,4-Methyl-1-Pentene,AIR,Inactive,,,,,,
,43235,2,n-Nonane,AIR,Inactive,,,,,,
,43235,3,n-Nonane,AIR,Inactive,,,,,,
,43238,2,n-Decane,AIR,Inactive,,,,,,
,43238,3,n-Decane,AIR,Inactive,,,,,,
,43242,2,Cyclopentane,AIR,Inactive,,,,,,
,43242,3,Cyclopentane,AIR,Inactive,,,,,,
,43243,2,Isoprene,AIR,Inactive,,,,,,
,43243,3,Isoprene,AIR,Inactive,,,,,,
,43244,2,"2,2-Dimethylbutane",AIR,Inactive,,,,,,
,43244,3,"2,2-Dimethylbutane",AIR,Inactive,,,,,,
,43246,2,2-Methyl-1-Pentene,AIR,Inactive,,,,,,
,43246,3,2-Methyl-1-Pentene,AIR,Inactive,,,,,,
,43247,2,"2,4-Dimethylpentane",AIR,Inactive,,,,,,
,43247,3,"2,4-Dimethylpentane",AIR,Inactive,,,,,,
,43248,2,Cyclohexane,AIR,Inactive,,,,,,
,43248,3,Cyclohexane,AIR,Inactive,,,,,,
,43249,2,3-Methylhexane,AIR,Inactive,,,,,,
,43249,3,3-Methylhexane,AIR,Inactive,,,,,,
,43250,2,"2,2,4-Trimethylpentane",AIR,Inactive,,,,,,
,43250,3,"2,2,4-Trimethylpentane",AIR,Inactive,,,,,,
,43252,2,"2,3,4-Trimethylpentane",AIR,Inactive,,,,,,
,43252,3,"2,3,4-Trimethylpentane",AIR,Inactive,,,,,,
,43253,2,3-Methylheptane,AIR,Inactive,,,,,,
,43253,3,3-Methylheptane,AIR,Inactive,,,,,,
,43261,2,Methylcyclohexane,AIR,Inactive,,,,,,
,43261,3,Methylcyclohexane,AIR,Inactive,,,,,,
,43262,2,Methylcyclopentane,AIR,Inactive,,,,,,
,43262,3,Methylcyclopentane,AIR,Inactive,,,,,,
,43270,2,Isobutene,AIR,Inactive,,,,,,
,43270,3,Isobutene,AIR,Inactive,,,,,,
,43280,2,1-Butene,AIR,Inactive,,,,,,
,43280,3,1-Butene,AIR,Inactive,,,,,,
,43284,2,"2,3-Dimethylbutane",AIR,Inactive,,,,,,
,43284,3,"2,3-Dimethylbutane",AIR,Inactive,,,,,,
,43285,2,2-Methylpentane,AIR,Inactive,,,,,,
,43285,3,2-Methylpentane,AIR,Inactive,,,,,,
,43289,2,trans-2-Hexene,AIR,Inactive,,,,,,
,43289,3,trans-2-Hexene,AIR,Inactive,,,,,,
,43290,2,cis-2-Hexene,AIR,Inactive,,,,,,
,43290,3,cis-2-Hexene,AIR,Inactive,,,,,,
,43954,2,n-Undecane,AIR,Inactive,,,,,,
,43954,3,n-Undecane,AIR,Inactive,,,,,,
,43960,2,2-Methylheptane,AIR,Inactive,,,,,,
,43960,3,2-Methylheptane,AIR,Inactive,,,,,,
,45109,2,m/p Xylene,AIR,Inactive,,,,,,
,45109,3,m/p Xylene,AIR,Inactive,,,,,,
,45201,2,Benzene,AIR,Inactive,,,,,,
,45201,3,Benzene,AIR,Inactive,,,,,,
,45202,2,Toluene,AIR,Inactive,,,,,,
,45202,3,Toluene,AIR,Inactive,,,,,,
,45203,2,Ethylbenzene,AIR,Inactive,,,,,,
,45203,3,Ethylbenzene,AIR,Inactive,,,,,,
,45204,2,o-Xylene,AIR,Inactive,,,,,,
,45204,3,o-Xylene,AIR,Inactive,,,,,,
,45207,2,"1,3,5-Trimethylbenzene",AIR,Inactive,,,,,,
,45207,3,"1,3,5-Trimethylbenzene",AIR,Inactive,,,,,,
,45208,2,"1,2,4-Trimethylbenzene",AIR,Inactive,,,,,,
,45208,3,"1,2,4-Trimethylbenzene",AIR,Inactive,,,,,,
,45209,2,n-Propylbenzene,AIR,Inactive,,,,,,
,45209,3,n-Propylbenzene,AIR,Inactive,,,,,,
,45210,2,Isopropylbenzene,AIR,Inactive,,,,,,
,45210,3,Isopropylbenzene,AIR,Inactive,,,,,,
,45211,2,o-Ethyltoluene,AIR,Inactive,,,,,,
,45211,3,o-Ethyltoluene,AIR,Inactive,,,,,,
,45212,2,m-Ethyltoluene,AIR,Inactive,,,,,,
,45212,3,m-Ethyltoluene,AIR,Inactive,,,,,,
,45213,2,p-Ethyltoluene,AIR,Inactive,,,,,,
,45213,3,p-Ethyltoluene,AIR,Inactive,,,,,,
,45218,2,m-Diethylbenzene,AIR,Inactive,,,,,,
,45218,3,m-Diethylbenzene,AIR,Inactive,,,,,,
,45219,2,p-Diethylbenzene,AIR,Inactive,,,,,,
,45219,3,p-Diethylbenzene,AIR,Inactive,,,,,,
,45220,2,Styrene,AIR,Inactive,,,,,,
,45220,3,Styrene,AIR,Inactive,,,,,,
,45225,2,"1,2,3-Trimethylbenzene",AIR,Inactive,,,,,,
,45225,3,"1,2,3-Trimethylbenzene",AIR,Inactive,,,,,,
,45850,2,Naphthalene,AIR,Inactive,,,,,,
,45850,3,Naphthalene,AIR,Inactive,,,,,,
