AQS Code  Sort by AQS Code descending,CAMS,TCEQ Region,Reg#,Site Name,Street Address,City,ZIP,Latitude,Longitude,Elevation,UTM Zone,UTM Letter,Easting Meters,Northing Meters,Params,Activation Date,Deactivation Date,Owned By
481211032,1032,DALLAS/FORT WORTH,4,Pilot Point,792 E Northside Dr,Pilot Point,,33.4106476,-96.9445903,201.0m,14,S,686847,3653064,8,4-Apr-06,Active,TCEQ
481215008,5008,DALLAS/FORT WORTH,4,Denton Airport KDTO,Denton Municipal Airport,Denton,,33.206111,-97.198889,183.0m,14,S,686847,3653064,13,22-Jan-03,Active,National Weather Service
481231602,1602,CORPUS CHRISTI,14,Cuero,40 Cooperative Way,Cuero,77954,29.134779,-97.276575,77.5m,14,R,694821,3209635,10,15-Apr-14,Active,City of Victoria
481350003,"0047, 0122 ",MIDLAND,7,Odessa-Hays Elementary School,Barrett & Monahans Streets,Odessa,,31.8365747,-102.3420368,,14,S,216577,3544370,55,2-Feb-93,Active,TCEQ
481351014,1014,MIDLAND,7,Odessa Gonzales,2700 Disney,Odessa,79761,31.8702534,-102.3347563,884.0m,14,S,216577,3544370,7,6-Jun-02,Active,TCEQ
481390016,"0052, 0137 ",DALLAS/FORT WORTH,4,Midlothian OFW,2725 Old Fort Worth Road,Midlothian,,32.4820829,-97.0268987,195.0m,14,S,688928,3542183,172,7-Nov-94,Active,TCEQ
481391044,1044,DALLAS/FORT WORTH,4,Italy,900 FM 667 Ellis County,Italy,76651,32.1754166,-96.8701892,165.0m,14,S,688928,3542183,101,21-Aug-07,Active,TCEQ
481410029,414,EL PASO,6,Ivanhoe,10834 Ivanhoe (Ivanhoe Fire Station),El Paso,,31.7857687,-106.3235781,,13,S,405543,3540873,10,1-Jan-79,Active,El Paso City-County Health Department
481410037,"0012, 0125, 0151 ",EL PASO,6,El Paso UTEP,250 Rim Rd,El Paso,,31.7682914,-106.5012595,1158.0m,13,S,311072,3542183,20,1-Jan-81,Active,TCEQ
481410038,,EL PASO,6,Riverside,301 Midway Dr (Riverside High School),El Paso,,31.7338,-106.3721,1120.0m,13,S,405543,3540873,1,1-Jan-81,Active,El Paso City-County Health Department
